position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount
1,UCyHDQ5C6z1NDmJ4g6SerW8g,maiLab,"Holt euch einen Tee, Freunde der Sonne, macht es euch gemütlich - Zeit für Science! Während viele Medien vereinfachen und zuspitzen, kämmen wir wissenschaftliche Studien bis ins kleinste Detail durch und liefern euch verlässliche, differenzierte Infos, die man nicht so einfach ergoogeln kann. maiLab wird produziert von Mai Thi Nguyen-Kim für funk Impressum: maiLab (früher schönschlau) ist ein Angebot von funk. funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF). http://go.funk.net/impressum funk hat auf die datenschutzrechtlichen Bestimmungen dieser Plattform sowie die Erhebung, Analyse und Nutzung von Userdaten keinen Einfluss. Im Rahmen unserer Möglichkeiten gehen wir mit der größten Sensibilität mit Deinen Daten um. Weitere Informationen zum Thema Datenschutz findest Du auf unserer Website: https://www.funk.net/datenschutz",2016-09-08T14:13:08Z,,DE,127882489,1480000,186
2,UC146qqkUMTrn4nfSSOTNwiA,"musstewissen Chemie","Aggregatzustände, chemische Reaktionen und das Teilchenmodell – das alles musstewissen? Dann abonniere unbedingt diesen Kanal! Zur Zeit gibt’s zwar keine neuen Videos, aber so erfährst du es als erstes, wenn’s wieder losgeht! Gerne auch hier ein Abo dalassen: instagram.com/musstewissenfakten ------------------------- musstewissen wird produziert von funk. funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF). go.funk.net/impressum Unsere Netiquette: http://go.funk.net/netiquette Mehr funk auf Youtube: https://youtube.com/funkofficial funk Web-App: https://go.funk.net/ Mehr funk auf Facebook: https://facebook.com/funk Produktionsfirma: ZDF Digital Medienproduktion GmbH",2016-09-23T09:24:14Z,,DE,18039348,190000,45
3,UCoHodUr9NAaifHqJRgMwY4g,mailab,"This channel is for the people who wants to learn about programming languages with fun and passion. As I am teaching long time web development courses as a Trainer, I want to share my teaching ideas for everyone. Hopefully someone will get some help by this. ",2020-03-19T15:08:47.252624Z,,DE,21013,146,9
4,UCM_omPq1D9zW2KgiuZCC2SA,MAILab_메일랩,"MAILab, based on our own engine, i2Brain, our Vision AI framework, and our two platforms of MEGA Image Platform and MEGA Industrial AI Platform, commercialized AI solutions for quarantine, security and safety with QSS integrated solutions. Through engineering and marketing teams in the U.S., Canada, China and India, we have been developing Industrial AI such as QSS Integrated Solution, Medical AI such as congenital heart disease algorithm, Logistic AI such as Intelligent Fulfillment Service and Beauty AI for sales and production of skin care and makeup products. MAIlab은 자체 슈퍼컴퓨터를 보유하여 Vision AI 엔진인 i2Brain을 기반으로 각종 산업의 제품 검수와 장비 점검을 위한 Industrial AI, 선천성 심장병 알고리즘 등 Medical AI, Robotic Intelligent Fulfillment Service 등 Logistic AI, 스킨케어와 메이크업 제품의 판매 및 생산을 위한 Beauty AI 등 각종 Vertical Solution을 개발하고 있습니다.  * For more information please visit: www.mailab.co.kr * Inquiry about Our AI Solutions, Hardware and Services: ckt@ckt21.com ( +82-2-569-0071) ",2021-05-05T07:57:08.513015Z,,KR,5101,26,104
5,UCQHZ9D6ZWZPCcO-fL4evc8A,"Mailab channel ",,2022-10-24T13:34:58.20776Z,,,11,0,3
6,UCDrzb2QiHRTQdUUmkDcfWUg,"Mailab Khan",,2017-10-24T07:08:10Z,,,2,1,1
7,UCSuPexPvmai-NYR_1aVPg5A,Mailab,,2009-06-03T06:44:38Z,,,2,1,1
8,UChwL2zraRR_BaDS5JcFMbmQ,"Software MaiLab",,2012-06-02T22:01:49Z,,,5004,9,24
9,UCTobdb_mdgB39xMu2DyzOSA,"Mailab MEB","Mai’s Diary",2017-05-27T04:51:49Z,,,230,9,12
10,UCqSllZ7UUq0giIkkPfVYujg,"The Secret Life Of Scientists","*** ein Kanal von Mai Thi Nguyen-Kim *** Instagram: @maithink Twitter: @maithi_nk Facebook: @MaiThiNguyenKim & @TheSecretLifeOfScientists Guckt auch mal bei maiLab vorbei!",2015-07-15T20:10:51Z,,DE,5938134,66300,51
11,UCsF_ecQKgUE0HF7oTsdLaAA,"Mailab Ferdinando 17",,2021-12-22T10:42:18.855362Z,,,0,0,1
